day,date,tickers,news_docs,events_detected,trades,pipeline_runtime_sec,cache_hit_rate_pct,ic_1d,sharpe,max_drawdown
1,2025-12-17,0,0,0,0,0.0,0.0,,, 
2,2025-12-18,4,0,0,0,0.0415,100.0,,,
3,2025-12-20,4,1000,0,0,0.0032,100.0,,,
4,2025-12-21,4,1000,0,0,0.1555,100.0,,,
5,2025-12-22,4,1000,9,0,1.6369,100.0,0.1958,,
6,2025-12-23,4,1000,,3,0.0759,100.0,0.1958,-14.7371,0.0000
7,2025-12-24,4,1000,9,3,0.0793,100.0,0.1958,-14.7371,0.0000,,,
8,2025-12-29,4,144,0,6,0.5218,0.0
9,2026-01-02,0,0,0,0,0.0,0.0,0.0,0.0,0.0
10,2026-01-03,4,0,0,6,0.0907,100.0,0.0,-4.1952,0.0

