sent_thresh,vol_thresh,min_docs,slippage_bps,trades,sharpe_ann,max_drawdown,total_return
0.02,0.5,5,0,28,2.434377522515143,-0.007644184499786988,0.004172307390378105
0.02,0.5,5,2,28,1.86048612398979,-0.007844184499786966,0.0031693565090795683
0.02,0.5,5,5,28,0.9996490262017594,-0.008144184499786933,0.0016664329221092178
0.02,0.5,10,0,20,2.3184718627525562,-0.006927098828413469,0.0037609490612446894
0.02,0.5,10,2,20,1.712147011110019,-0.007127098828413447,0.0027583285269476843
0.02,0.5,10,5,20,0.8026597336462096,-0.007427098828413525,0.0012559000873859638
0.02,0.5,20,0,7,1.1124327754440793,-0.014664666939356752,0.004111241532748
0.02,0.5,20,2,7,0.921000113637088,-0.014864666939356841,0.003308908640807129
0.02,0.5,20,5,7,0.633851120926601,-0.015164666939356808,0.0021063108931571595
0.02,1.0,5,0,21,6.2441712836666525,-0.005979153655568337,0.024471617177819205
0.02,1.0,5,2,21,5.990565568874821,-0.006179153655568315,0.02345241557859712
0.02,1.0,5,5,21,5.6101569966870715,-0.006479153655568282,0.021925134211855157
0.02,1.0,10,0,16,5.938271467318006,-0.005979153655568337,0.02331248799886798
0.02,1.0,10,2,16,5.685432945121214,-0.006179153655568315,0.02229420868214782
0.02,1.0,10,5,16,5.306175161826023,-0.006479153655568282,0.02076830970713739
0.02,1.0,20,0,6,0.028052536669185314,-0.014664666939356752,-0.00046407251426960894
0.02,1.0,20,2,6,-0.1564501953300429,-0.014864666939356841,-0.0012636699545379715
0.02,1.0,20,5,6,-0.4332042933288864,-0.015164666939356808,-0.002462166568991009
0.02,1.5,5,0,6,0.9185012727731032,-0.01087253617617212,0.0028497087099506047
0.02,1.5,5,2,6,0.7576085905049087,-0.01107253617617221,0.002248574766928302
0.02,1.5,5,5,6,0.5162695671026153,-0.011372536176172288,0.0013473242611863334
0.02,1.5,10,0,6,0.9185012727731032,-0.01087253617617212,0.0028497087099506047
0.02,1.5,10,2,6,0.7576085905049087,-0.01107253617617221,0.002248574766928302
0.02,1.5,10,5,6,0.5162695671026153,-0.011372536176172288,0.0013473242611863334
0.02,1.5,20,0,4,0.8923439346745533,-0.010966847340620145,0.002754089159130446
0.02,1.5,20,2,4,0.7316074917295637,-0.011166847340620012,0.0021529932064903168
0.02,1.5,20,5,4,0.4905028273120779,-0.011466847340620201,0.0012517996721739255
0.02,2.0,5,0,0,0.0,0.0,0.0
0.02,2.0,5,2,0,0.0,0.0,0.0
0.02,2.0,5,5,0,0.0,0.0,0.0
0.02,2.0,10,0,0,0.0,0.0,0.0
0.02,2.0,10,2,0,0.0,0.0,0.0
0.02,2.0,10,5,0,0.0,0.0,0.0
0.02,2.0,20,0,0,0.0,0.0,0.0
0.02,2.0,20,2,0,0.0,0.0,0.0
0.02,2.0,20,5,0,0.0,0.0,0.0
0.05,0.5,5,0,27,2.7176797799351053,-0.007644184499786988,0.004710261953037698
0.05,0.5,5,2,27,2.149050819383983,-0.007844184499786966,0.003706880924883027
0.05,0.5,5,5,27,1.2961073785572998,-0.008144184499786933,0.0022033126013596416
0.05,0.5,10,0,20,2.3184718627525562,-0.006927098828413469,0.0037609490612446894
0.05,0.5,10,2,20,1.712147011110019,-0.007127098828413447,0.0027583285269476843
0.05,0.5,10,5,20,0.8026597336462096,-0.007427098828413525,0.0012559000873859638
0.05,0.5,20,0,7,1.1124327754440793,-0.014664666939356752,0.004111241532748
0.05,0.5,20,2,7,0.921000113637088,-0.014864666939356841,0.003308908640807129
0.05,0.5,20,5,7,0.633851120926601,-0.015164666939356808,0.0021063108931571595
0.05,1.0,5,0,20,6.3867405054447675,-0.005979153655568337,0.025020446474066205
0.05,1.0,5,2,20,6.132885892869905,-0.006179153655568315,0.0240008081886951
0.05,1.0,5,5,20,5.752103974007609,-0.006479153655568282,0.022472872281376954
0.05,1.0,10,0,16,5.938271467318006,-0.005979153655568337,0.02331248799886798
0.05,1.0,10,2,16,5.685432945121214,-0.006179153655568315,0.02229420868214782
0.05,1.0,10,5,16,5.306175161826023,-0.006479153655568282,0.02076830970713739
0.05,1.0,20,0,6,0.028052536669185314,-0.014664666939356752,-0.00046407251426960894
0.05,1.0,20,2,6,-0.1564501953300429,-0.014864666939356841,-0.0012636699545379715
0.05,1.0,20,5,6,-0.4332042933288864,-0.015164666939356808,-0.002462166568991009
0.05,1.5,5,0,6,0.9185012727731032,-0.01087253617617212,0.0028497087099506047
0.05,1.5,5,2,6,0.7576085905049087,-0.01107253617617221,0.002248574766928302
0.05,1.5,5,5,6,0.5162695671026153,-0.011372536176172288,0.0013473242611863334
0.05,1.5,10,0,6,0.9185012727731032,-0.01087253617617212,0.0028497087099506047
0.05,1.5,10,2,6,0.7576085905049087,-0.01107253617617221,0.002248574766928302
0.05,1.5,10,5,6,0.5162695671026153,-0.011372536176172288,0.0013473242611863334
0.05,1.5,20,0,4,0.8923439346745533,-0.010966847340620145,0.002754089159130446
0.05,1.5,20,2,4,0.7316074917295637,-0.011166847340620012,0.0021529932064903168
0.05,1.5,20,5,4,0.4905028273120779,-0.011466847340620201,0.0012517996721739255
0.05,2.0,5,0,0,0.0,0.0,0.0
0.05,2.0,5,2,0,0.0,0.0,0.0
0.05,2.0,5,5,0,0.0,0.0,0.0
0.05,2.0,10,0,0,0.0,0.0,0.0
0.05,2.0,10,2,0,0.0,0.0,0.0
0.05,2.0,10,5,0,0.0,0.0,0.0
0.05,2.0,20,0,0,0.0,0.0,0.0
0.05,2.0,20,2,0,0.0,0.0,0.0
0.05,2.0,20,5,0,0.0,0.0,0.0
0.08,0.5,5,0,22,0.6338084230767775,-0.012218050225422994,0.0010747034037414949
0.08,0.5,5,2,22,0.08665401999349076,-0.012615559302966428,7.422708930215904e-05
0.08,0.5,5,5,22,-0.7340775846314394,-0.013211672919281603,-0.0014249874276494046
0.08,0.5,10,0,16,0.06839471024906417,-0.010933817164192727,4.440509503389478e-05
0.08,0.5,10,2,16,-0.5394322571236966,-0.011331584414435936,-0.0009552440966301701
0.08,0.5,10,5,16,-1.4511727081828374,-0.011928085289800827,-0.0024532188632819807
0.08,0.5,20,0,5,2.5379610349407495,-0.014664666939356752,0.009825485058757133
0.08,0.5,20,2,5,2.3408966553289585,-0.014864666939356841,0.009019735781219618
0.08,0.5,20,5,5,2.045300085911271,-0.015164666939356808,0.007812016008375444
0.08,1.0,5,0,16,3.308227590922172,-0.018799912508373207,0.014640945284335682
0.08,1.0,5,2,16,3.088759496146148,-0.019196100216965717,0.013629549315893996
0.08,1.0,5,5,16,2.7595573539821117,-0.019790231779854395,0.01211396767907269
0.08,1.0,10,0,13,2.798724599639888,-0.018799912508373096,0.012280600507625916
0.08,1.0,10,2,13,2.5789950008070717,-0.019196100216965717,0.011271087747628084
0.08,1.0,10,5,13,2.249400602557846,-0.019790231779854395,0.009758328810445693
0.08,1.0,20,0,5,2.5379610349407495,-0.014664666939356752,0.009825485058757133
0.08,1.0,20,2,5,2.3408966553289585,-0.014864666939356841,0.009019735781219618
0.08,1.0,20,5,5,2.045300085911271,-0.015164666939356808,0.007812016008375444
0.08,1.5,5,0,5,1.8985183147242224,-0.007447286290796051,0.006322477362566081
0.08,1.5,5,2,5,1.7322373424994302,-0.007647286290796029,0.0057199636618883165
0.08,1.5,5,5,5,1.4828158841622403,-0.007947286290795996,0.004816644033450501
0.08,1.5,10,0,5,1.8985183147242224,-0.007447286290796051,0.006322477362566081
0.08,1.5,10,2,5,1.7322373424994302,-0.007647286290796029,0.0057199636618883165
0.08,1.5,10,5,5,1.4828158841622403,-0.007947286290795996,0.004816644033450501
0.08,1.5,20,0,3,3.9287928513236183,-0.0007854088489397393,0.013076775566156051
0.08,1.5,20,2,3,3.7543400301509364,-0.0009854088489396062,0.01247157833093171
0.08,1.5,20,5,3,3.4926607983919102,-0.0012854088489395732,0.011564234399954465
0.08,2.0,5,0,0,0.0,0.0,0.0
0.08,2.0,5,2,0,0.0,0.0,0.0
0.08,2.0,5,5,0,0.0,0.0,0.0
0.08,2.0,10,0,0,0.0,0.0,0.0
0.08,2.0,10,2,0,0.0,0.0,0.0
0.08,2.0,10,5,0,0.0,0.0,0.0
0.08,2.0,20,0,0,0.0,0.0,0.0
0.08,2.0,20,2,0,0.0,0.0,0.0
0.08,2.0,20,5,0,0.0,0.0,0.0
0.1,0.5,5,0,17,6.189241409408659,-0.010845710330080971,0.013756737146502607
0.1,0.5,5,2,17,5.740965922997504,-0.011243495292669325,0.01274612479728976
0.1,0.5,5,5,17,5.068552693380772,-0.011840022736552158,0.011231717621819959
0.1,0.5,10,0,13,6.1685164607018965,-0.009311669883012241,0.012966987329109614
0.1,0.5,10,2,13,5.6944538544695105,-0.009709763237726543,0.01195700764119989
0.1,0.5,10,5,13,4.983359945120936,-0.010306753269798241,0.010443548744915265
0.1,0.5,20,0,5,2.5379610349407495,-0.014664666939356752,0.009825485058757133
0.1,0.5,20,2,5,2.3408966553289585,-0.014864666939356841,0.009019735781219618
0.1,0.5,20,5,5,2.045300085911271,-0.015164666939356808,0.007812016008375444
0.1,1.0,5,0,14,5.661727539785624,-0.018799912508373207,0.02606930878018776
0.1,1.0,5,2,14,5.44680270798778,-0.019196100216965717,0.02504880372851659
0.1,1.0,5,5,14,5.1244154602910115,-0.019790231779854395,0.023519568677395686
0.1,1.0,10,0,11,5.140595760870691,-0.018799912508373096,0.023682378364282997
0.1,1.0,10,2,11,4.926458823141564,-0.019196100216965717,0.022663772421149586
0.1,1.0,10,5,11,4.605253416547872,-0.019790231779854395,0.021137383907921636
0.1,1.0,20,0,5,2.5379610349407495,-0.014664666939356752,0.009825485058757133
